Income,Recency,Complain,Response,umur,Tinngal_dengan,anak,pendidikan,Pengeluaran_2thn,kemakan_iklan,tempat_beli
58138.0,58,0,1,67,Alone,0,Graduate,1617,0,25
46344.0,38,0,0,70,Alone,2,Graduate,27,0,6
71613.0,26,0,0,59,Partner,0,Graduate,776,0,21
26646.0,26,0,0,40,Partner,1,Graduate,53,0,8
58293.0,94,0,0,43,Partner,1,Postgraduate,422,0,19
62513.0,16,0,0,57,Partner,1,Postgraduate,716,0,22
55635.0,34,0,0,53,Alone,1,Graduate,590,0,21
33454.0,32,0,0,39,Partner,1,Postgraduate,169,0,10
30351.0,19,0,1,50,Partner,1,Postgraduate,46,0,6
5648.0,68,0,0,74,Partner,2,Postgraduate,49,1,2
52247.25135379061,11,0,0,41,Partner,1,Graduate,19,0,4
7500.0,59,0,0,48,Partner,0,Undergraduate,61,0,6
63033.0,82,0,0,65,Alone,0,Graduate,1102,0,16
59354.0,53,0,0,72,Alone,2,Postgraduate,310,0,15
17323.0,38,0,0,37,Partner,0,Graduate,46,0,5
82800.0,23,0,1,78,Alone,0,Postgraduate,1315,2,26
41850.0,51,0,0,44,Partner,2,Graduate,96,0,9
37760.0,20,0,0,78,Partner,0,Graduate,317,0,13
76995.0,91,0,0,75,Partner,1,Postgraduate,1782,1,26
33812.0,86,0,0,39,Alone,1,Undergraduate,133,0,8
37040.0,41,0,0,42,Partner,0,Graduate,316,0,12
2447.0,42,0,0,45,Partner,1,Graduate,1730,0,43
58607.0,63,0,0,75,Partner,1,Postgraduate,972,1,17
65324.0,0,0,0,70,Partner,1,Postgraduate,544,0,20
40689.0,69,0,0,73,Partner,1,Graduate,444,0,20
18589.0,89,0,0,55,Alone,0,Graduate,75,0,8
53359.0,4,0,0,48,Partner,2,Graduate,257,0,14
52247.25135379061,19,0,0,38,Alone,1,Graduate,637,0,27
38360.0,26,0,0,35,Partner,1,Graduate,131,0,9
84618.0,96,0,0,59,Partner,0,Postgraduate,1672,1,26
10979.0,34,0,0,35,Alone,0,Postgraduate,30,0,8
38620.0,56,0,0,61,Partner,0,Postgraduate,318,0,11
40548.0,31,0,0,54,Partner,1,Graduate,120,1,9
46610.0,8,0,1,72,Alone,2,Postgraduate,302,0,17
68657.0,4,0,0,78,Partner,0,Postgraduate,1196,0,18
49389.0,55,0,0,73,Alone,2,Postgraduate,65,0,6
67353.0,37,0,0,54,Partner,1,Postgraduate,913,0,28
23718.0,76,0,0,48,Partner,1,Undergraduate,81,0,9
42429.0,99,0,0,51,Alone,1,Graduate,67,0,7
48948.0,53,0,1,81,Alone,0,Postgraduate,902,1,24
80011.0,3,0,0,44,Partner,1,Graduate,1395,0,21
20559.0,88,0,0,39,Partner,1,Postgraduate,53,0,7
21994.0,4,0,0,67,Partner,1,Graduate,22,0,4
52247.25135379061,80,0,0,65,Alone,0,Postgraduate,186,0,9
7500.0,19,0,0,49,Partner,1,Postgraduate,31,0,8
79941.0,72,0,0,48,Alone,0,Graduate,984,0,16
7500.0,24,0,1,28,Partner,0,Undergraduate,122,0,10
41728.0,92,0,0,56,Partner,1,Graduate,55,0,5
52247.25135379061,96,0,0,73,Alone,3,Graduate,124,0,10
72550.0,39,0,0,70,Partner,2,Postgraduate,1319,0,28
65486.0,29,0,0,67,Alone,1,Graduate,507,0,17
79143.0,2,0,0,60,Partner,0,Postgraduate,1693,0,29
35790.0,54,0,0,47,Alone,1,Graduate,72,0,7
82582.0,54,0,1,47,Alone,0,Graduate,1617,2,21
66373.0,57,0,0,46,Partner,2,Graduate,606,0,23
82384.0,55,0,1,69,Partner,0,Postgraduate,1957,1,27
70287.0,30,0,1,58,Alone,0,Graduate,1093,0,21
27938.0,31,0,0,36,Alone,1,Graduate,29,0,6
52247.25135379061,57,0,0,42,Alone,1,Graduate,46,0,7
55954.0,63,0,0,56,Partner,1,Postgraduate,518,0,19
75777.0,12,0,1,42,Alone,0,Postgraduate,1438,2,21
66653.0,18,0,0,49,Partner,2,Graduate,612,0,22
61823.0,26,0,0,72,Alone,1,Graduate,884,0,24
67680.0,8,0,0,73,Alone,1,Postgraduate,606,0,19
70666.0,29,0,0,76,Partner,0,Graduate,1076,0,16
25721.0,75,0,1,53,Partner,1,Graduate,34,0,5
32474.0,0,0,0,57,Partner,2,Graduate,11,0,4
88194.0,19,0,1,45,Alone,1,Undergraduate,1274,2,32
69096.0,4,0,0,66,Partner,1,Graduate,653,0,18
74854.0,90,0,0,54,Partner,3,Graduate,1562,0,19
66991.0,1,0,0,70,Partner,0,Postgraduate,1253,0,21
52247.25135379061,25,0,0,51,Partner,1,Undergraduate,109,0,9
65031.0,29,0,0,65,Partner,1,Graduate,863,0,30
60631.0,88,0,0,49,Partner,2,Postgraduate,661,1,24
28332.0,58,0,0,72,Partner,0,Graduate,65,0,8
40246.0,68,0,0,47,Alone,1,Graduate,13,0,4
75251.0,34,0,1,52,Partner,0,Postgraduate,1890,0,19
75825.0,40,0,1,48,Alone,0,Graduate,2209,1,22
26326.0,12,1,0,48,Partner,0,Undergraduate,18,0,4
56046.0,9,0,1,59,Partner,0,Graduate,692,1,21
29760.0,87,0,0,39,Alone,1,Graduate,165,0,12
26304.0,5,0,0,55,Partner,1,Graduate,16,0,4
23559.0,87,0,0,51,Partner,1,Undergraduate,79,0,9
38620.0,56,0,0,61,Partner,0,Postgraduate,318,0,11
81361.0,18,0,0,37,Alone,0,Graduate,778,0,27
29440.0,95,0,0,64,Partner,2,Graduate,56,0,7
36138.0,48,0,0,54,Partner,2,Postgraduate,151,1,13
50388.0,3,0,1,67,Alone,1,Graduate,372,2,17
79593.0,70,0,0,51,Partner,0,Graduate,1366,1,19
54178.0,79,0,0,57,Partner,1,Graduate,194,0,10
52247.25135379061,4,0,0,67,Partner,3,Postgraduate,603,0,29
52247.25135379061,45,0,0,67,Alone,2,Graduate,18,0,4
52247.25135379061,87,0,0,51,Partner,0,Postgraduate,985,0,15
42394.0,69,0,0,52,Alone,1,Postgraduate,32,0,5
23626.0,84,0,0,54,Partner,1,Postgraduate,43,0,10
30096.0,30,0,0,41,Partner,1,Graduate,45,0,6
47916.0,72,0,0,64,Alone,1,Graduate,606,1,22
51813.0,37,0,0,52,Alone,2,Graduate,63,0,7
78497.0,44,0,0,73,Partner,0,Undergraduate,978,1,25
50150.0,32,0,0,41,Partner,0,Postgraduate,410,0,16
47823.0,0,0,0,64,Alone,1,Undergraduate,72,0,7
34554.0,43,0,0,65,Alone,1,Postgraduate,55,0,7
